name,ign,group,status,record,semi,semi_status,g1,g2,g3
Msk,มายด์,,,,,,,,
Lwoft,แอล,,,,,,,,
Best Cf 2099,เบส,,,,,,,,
YestoothNumnimZ,นุ่มนิ่ม,,,,,,,,
เฮียคิง,คิง,,,,,,,,
gamball,บอล,,,,,,,,
intangeble,ตี๋,,,,,,,,
Infinity Wolf,ปอนด์,,,,,,,,
KOGUY GOT SNAP,กาย,,,,,,,,
วอเอ๊ะๆ,สกาย,,,,,,,,
MrR,อาร์,,,,,,,,
CokePakkhat,โชค,,,,,,,,
bot1,bot1,,,,,,,,
bot2,bot2,,,,,,,,
bot3,bot3,,,,,,,,
bot4,bot4,,,,,,,,
bot5,bot5,,,,,,,,
bot6,bot6,,,,,,,,
bot7,bot7,,,,,,,,
bot8,bot8,,,,,,,,
bot9,bot9,,,,,,,,
bot10,bot10,,,,,,,,
bot11,bot11,,,,,,,,
bot12,bot12,,,,,,,,
